"product-img href","img-responsive src","img-responsive src 2","stat-1","name","description","product-label 4","price-new","price-old"
"https://www.vedantcomputers.com/asus-b760m-ayw-wifi?search=asus","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/b760m-ayw-wifi/b760m-ayw-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/b760m-ayw-wifi/b760m-ayw-wifi-2-350x350.jpg","B760M-AYW WIFI","Asus B760M-AYW WIFI Motherboard","B760M-AYW WIFIASUS B760M-AYW WIFI, an Intel® B760 LGA 1700 mATX
motherboard with PCIe 4.0, two PCIe 4.0 M.2 slots, DDR5, Realtek 2.5Gb
Ethernet,..","-41%","₹10,700.00","₹18,000.00"
"https://www.vedantcomputers.com/asus-dual-rtx3050-o6g?search=asus","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/graphics-card/dual-rtx3050-o6g/dual-rtx3050-o6g-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/graphics-card/dual-rtx3050-o6g/dual-rtx3050-o6g-2-350x350.jpg","DUAL-RTX3050-O6G","Asus Dual GeForce RTX 3050 OC Edition 6GB GDDR6","ASUS Dual GeForce RTX 3050 OC Edition 6GB GDDR6DUAL-RTX3050-O6GASUS Dual GeForce RTX™ 3050 OC Edition 6GB GDDR6 with two
powerful fans AAA ga..","-32%","₹23,500.00","₹34,400.00"
"https://www.vedantcomputers.com/asus-dual-rx7600-o8g-evo?search=asus","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/graphics-card/dual-rx7600-o8g-evo/dual-rx7600-o8g-evo-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/graphics-card/dual-rx7600-o8g-evo/dual-rx7600-o8g-evo-2-350x350.jpg","DUAL-RX7600-O8G-EVO","Asus Dual Radeon RX 7600 EVO OC Edition 8GB GDDR6","ASUS Dual Radeon RX 7600 EVO OC Edition 8GB GDDR6DUAL-RX7600-O8G-EVOASUS Dual Radeon RX 7600 EVO OC Edition 8GB GDDR6 is
optimized inside and..","-55%","₹30,090.00","₹66,750.00"
"https://www.vedantcomputers.com/asus-prime-a520m-k-csm?search=asus","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/prime-a520m-k-csm/prime-a520m-k-csm-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/prime-a520m-k-csm/prime-a520m-k-csm-2-350x350.jpg","PRIME A520M-K/CSM","Asus Prime A520M-K/CSM Motherboard","PRIME A520M-K/CSMAMD A520 (Ryzen AM4) micro ATX motherboard with M.2 support,
1 Gb Ethernet, HDMI/D-Sub, SATA 6 Gbps, USB 3.2 Gen 1 Type-AAMD..","-36%","₹5,100.00","₹8,000.00"
"https://www.vedantcomputers.com/asus-prime-b550m-k-argb?search=asus","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/prime-b550m-k-argb/prime-b550m-k-argb-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/prime-b550m-k-argb/prime-b550m-k-argb-2-350x350.jpg","PRIME B550M-K ARGB","Asus Prime B550M-K ARGB Motherboard","PRIME B550M-K ARGBAMD B550 (Ryzen™ AM4) mATX motherboard with dual M.2 slots,
PCIe 4.0, Realtek 1Gb Ethernet, DisplayPort/HDMI™, SATA 6 Gbps, rea..","-54%","₹6,950.00","₹15,000.00"
"https://www.vedantcomputers.com/asus-prime-h610m-cs-d4-motherboard?search=asus","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/prime-h610m-cs-d4/prime-h610m-cs-d4-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/prime-h610m-cs-d4/prime-h610m-cs-d4-2-350x350.jpg","PRIME H610M-CS D4","Asus Prime H610M-CS D4 Motherboard","PRIME H610M-CS D4Intel® H610 (LGA 1700) mic-ATX motherboard with DDR4, PCIe
4.0, M.2 slot, Realtek 1 Gb Ethernet, HDMI®,D-Sub, USB 3.2 Gen 1 ports, S..","-33%","₹6,040.00","₹9,000.00"
"https://www.vedantcomputers.com/asus-prime-h610m-e-d4-csm?search=asus","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/prime-h610m-e-d4-csm/prime-h610m-e-d4-csm-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/prime-h610m-e-d4-csm/prime-h610m-e-d4-csm-2-350x350.jpg","PRIME H610M-E D4-CSM","Asus Prime H610M-E D4-CSM Motherboard","PRIME H610M-E D4-CSMIntel® H610 (LGA 1700) mic-ATX motherboard with DDR4, PCIe
4.0, dual M.2 slots, Realtek 1 Gb Ethernet, DisplayPort, HDMI, D-S..","-42%","₹6,080.00","₹10,500.00"
"https://www.vedantcomputers.com/asus-prime-rx9060xt-o8g?search=asus","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/graphics-card/prime-rx9060xt-o8g/prime-rx9060xt-o8g-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/graphics-card/prime-rx9060xt-o8g/prime-rx9060xt-o8g-2-350x350.jpg","PRIME-RX9060XT-O8G","Asus Prime Radeon RX 9060 XT OC Edition 8GB GDDR6","ASUS Prime Radeon RX 9060 XT 8GB GDDR6 OC EditionPRIME-RX9060XT-O8G 
Specification  
..","-61%","₹42,600.00","₹110,000.00"
"https://www.vedantcomputers.com/asus-rog-crosshair-x870e-hero?search=asus","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/rog-crosshair-x870e-hero/rog-crosshair-x870e-hero-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/motherboard/rog-crosshair-x870e-hero/rog-crosshair-x870e-hero-2-350x350.jpg","ROG CROSSHAIR X870E HERO","Asus ROG Crosshair X870E Hero Motherboard","ROG CROSSHAIR X870E HEROAMD X870E (AM5 Socket) ATX motherboard, Advanced AI
PC-ready, 18+2+2 power stages, Dynamic OC Switcher, Core Flex, DDR5 s..","-10%","₹73,600.00","₹82,000.00"
"https://www.vedantcomputers.com/asus-rog-thor-850w-platinum-fully-modular-power-supply-rog-thor-850p?search=asus","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/power-supply/rog-thor-850p/rog-thor-850p-2-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/asus/power-supply/rog-thor-850p/rog-thor-850p-4-350x350.jpg","ROG-THOR-850P","Asus ROG Thor 850W Platinum Fully Modular Power Supply","ROG-THOR-850PROG Thor 850W Platinum Power Supply Unit stands out with
Aura Sync and an OLED displayAura Sync : Advanced custo..","-26%","₹15,773.00","₹21,300.00"
