"product-img href","img-responsive src","stat-1","name","description","product-label 4","price-new","price-old","img-responsive src 2"
"https://www.vedantcomputers.com/intel-core-i3-processor-14100-bx8071514100?search=intel","https://www.vedantcomputers.com/image/cache/catalog/assets/product/intel/processor/bx8071514100/bx8071514100-1-350x350.JPG","BX8071514100","Intel Core i3 Processor - 14100 (12M Cache, up to 4.70 GHz)","Intel Core i3
processor 14100 (12M Cache, up to 4.70 GHz)BX8071514100 
Specification
Essential..","-18%","₹16,650.00","₹20,250.00",""
"https://www.vedantcomputers.com/intel-core-i5-processor-14400-bx8071514400?search=intel","https://www.vedantcomputers.com/image/cache/catalog/assets/product/intel/processor/bx8071514400/bx8071514400-1-350x350.JPG","BX8071514400","Intel Core i5 Processor - 14400 (20M Cache, up to 4.70 GHz)","Intel Core i5
processor 14400 (20M Cache, up to 4.70 GHz)BX8071514400 
Specification
Essential..","-22%","₹23,590.00","₹30,300.00",""
"https://www.vedantcomputers.com/intel-core-i5-processor-14400f-bx8071514400f?search=intel","https://www.vedantcomputers.com/image/cache/catalog/assets/product/intel/processor/bx8071514400f/bx8071514400f-1-350x350.JPG","BX8071514400F","Intel Core i5 Processor - 14400F (20M Cache, up to 4.70 GHz)","Intel Core i5
processor 14400F (20M Cache, up to 4.70 GHz)BX8071514400F 
Specification
Essenti..","-37%","₹16,890.00","₹26,900.00",""
"https://www.vedantcomputers.com/intel-core-i7-processor-14700-bx8071514700?search=intel","https://www.vedantcomputers.com/image/cache/catalog/assets/product/intel/processor/bx8071514700/bx8071514700-1-350x350.jpg","BX8071514700","Intel Core i7 Processor - 14700 (33M Cache, up to 5.40 GHz)","Intel Core i7
processor 14700 (33M Cache, up to 5.40 GHz)BX8071514700
Specification
Essentials
..","-14%","₹42,930.00","₹49,999.00",""
"https://www.vedantcomputers.com/intel-core-i7-processor-14700f-bx8071514700f?search=intel","https://www.vedantcomputers.com/image/cache/catalog/assets/product/intel/processor/bx8071514700f/bx8071514700f-1-350x350.JPG","BX8071514700F","Intel Core i7 Processor - 14700F (33M Cache, up to 5.40 GHz)","Intel Core i7
processor 14700F (33M Cache, up to 5.40 GHz)BX8071514700F
Specification
Essentials
..","-34%","₹34,490.00","₹51,900.00",""
"https://www.vedantcomputers.com/intel-core-i7-processor-14700k-bx8071514700k?search=intel","https://www.vedantcomputers.com/image/cache/catalog/assets/product/intel/processor/bx8071514700k/bx8071514700k-1-350x350.JPG","BX8071514700K","Intel Core i7 Processor - 14700K (33M Cache, up to 5.60 GHz)","Intel Core i7
processor 14700K (33M Cache, up to 5.60 GHz)BX8071514700K
Specification
Essentials
..","-40%","₹46,890.00","₹77,900.00",""
"https://www.vedantcomputers.com/intel-core-i9-processor-14900f-bx8071514900f?search=intel","https://www.vedantcomputers.com/image/cache/catalog/assets/product/intel/processor/bx8071514900f/bx8071514900f-1-350x350.jpg","BX8071514900F","Intel Core i9 Processor - 14900F (36M Cache, up to 5.80 GHz)","Intel Core i9
processor 14900F (36M Cache, up to 5.80 GHz)BX8071514900F 
Specification
Essenti..","-33%","₹46,700.00","₹69,470.00",""
"https://www.vedantcomputers.com/intel-core-i9-processor-14900k-bx8071514900k?search=intel","https://www.vedantcomputers.com/image/cache/catalog/assets/product/intel/processor/bx8071514900k/bx8071514900k-1-350x350.JPG","BX8071514900K","Intel Core i9 Processor - 14900K (36M Cache, up to 6.00 GHz)","Intel Core i9
processor 14900K (36M Cache, up to 6.00 GHz)BX8071514900K
Specification
Essentials
..","-43%","₹48,990.00","₹85,200.00",""
"https://www.vedantcomputers.com/intel-core-i9-processor-14900ks-bx8071514900ks?search=intel","https://www.vedantcomputers.com/image/cache/catalog/assets/product/intel/processor/bx8071514900ks/bx8071514900ks-1-350x350.jpg","BX8071514900KS","Intel Core i9 Processor - 14900KS (36M Cache, up to 6.20 GHz)","Intel Core i9 processor 14900KS (36M Cache, up to 6.20 GHz)BX8071514900KS 
Specification
Essent..","-32%","₹61,490.00","₹90,200.00",""
"https://www.vedantcomputers.com/intel-core-ultra-5-225-bx80768225?search=intel","https://www.vedantcomputers.com/image/cache/catalog/assets/product/intel/processor/bx80768225/bx80768225-1-350x350.jpg","BX80768225","Intel Core Ultra 5 Processor 225 (20M Cache, up to 4.90 GHz)","Intel Core Ultra 5 Processor 22520M Cache, up to 4.90 GHz 
Specification
Essentials
..","-39%","₹18,540.00","₹30,200.00",""
