"product-img href","img-responsive src","img-responsive src 2","stat-1","name","description","product-label 4","price-new","price-old"
"https://www.vedantcomputers.com/logitech-brio-100-960-001618?search=logitech","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/webcam/960-001618/960-001618-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/webcam/960-001618/960-001618-2-350x350.jpg","960-001618","Logitech BRIO 100 FHD Webcam - Off-White","BRIO 100 - Off-White960-001618Full HD 1080p webcam with auto-light balance, integrated
privacy shutter, and built-in mic. 
..","-19%","₹3,150.00","₹3,899.00"
"https://www.vedantcomputers.com/logitech-c270-hd-webcam-960-000584?search=logitech","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/webcam/960-000584/960-000584-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/webcam/960-000584/960-000584-2-350x350.jpg","960-000584","Logitech C270 HD Webcam - Dark Grey","C270 HD Webcam – Dark Grey960-000584Basic HD 720p video calling 
Specification
DIMENSIONS
..","-27%","₹2,250.00","₹3,095.00"
"https://www.vedantcomputers.com/logitech-driving-force-shifter-941-000132?search=logitech","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/racing-wheel/941-000132/941-000132-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/racing-wheel/941-000132/941-000132-2-350x350.jpg","941-000132","Logitech Driving Force Shifter for G923, G29 and G920 Racing Wheels","Driving Force Shifter - DE9 For G Series941-000132Pair with G923, G29 and G920 wheel and pedals. With solid
steel gear shaft, 6-speed short-t..","--6%","₹6,140.00","₹5,800.00"
"https://www.vedantcomputers.com/logitech-f310-usb-wired-gamepad-940-000112?search=logitech","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/game-pad/940-000112/940-000112-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/game-pad/940-000112/940-000112-2-350x350.jpg","940-000112","Logitech F310 USB Wired Gamepad","F310 GAMEPADDesigned for the PC gamer looking for an advanced
console-style controller. FeaturesEXTENSIVE GAME SUPPORTPlay hits and classicsPlay..","-9%","₹2,450.00","₹2,695.00"
"https://www.vedantcomputers.com/logitech-f710-usb-wireless-gamepad-940-000119?search=logitech","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/game-pad/940-000119/940-000119-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/game-pad/940-000119/940-000119-2-350x350.jpg","940-000119","Logitech F710 USB Wireless Gamepad","F710 Wireless GamepadDesigned for the PC gamer looking for an advanced
console-style controller. Features2.4 GHZ WIRELESS CONNECTIONPlug and for..","-18%","₹4,330.00","₹5,295.00"
"https://www.vedantcomputers.com/logitech-g-g502-x-plus-lightspeed-910-006164?search=logitech","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/mouse/910-006164/910-006164-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/mouse/910-006164/910-006164-2-350x350.jpg","910-006164","Logitech G G502 X Plus LightSpeed Wireless RGB Gaming Mouse","G502 X PLUS LIGHTSPEED Wireless Gaming Mouse with LIGHTSYNC
RGB 910-006164 
Specification
..","-29%","₹12,360.00","₹17,495.00"
"https://www.vedantcomputers.com/logitech-g-g502-x-910-006140?search=logitech","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/mouse/910-006140/910-006140-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/mouse/910-006140/910-006140-2-350x350.jpg","910-006140","Logitech G G502 X Wired Gaming Mouse - Black","G502 X Wired Gaming Mouse910-006140G502 X is the latest addition to the legendary G502 lineage.
Redesigned to achieve an impressive weight re..","-36%","₹5,340.00","₹8,395.00"
"https://www.vedantcomputers.com/logitech-g512-carbon-rgb-mechanical-gaming-keyboard-gx-brown-tactile-920-009354?search=logitech","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/keyboard/920-009354/920-009354_1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/keyboard/920-009354/920-009354_2-350x350.jpg","920-009354","Logitech G G512 Carbon RGB Mechanical Gaming Keyboard - GX Brown Tactile","G512 Wired Gaming Keyboard- Mechanical Switches 920-009354 
Specification
Dimensions
..","-27%","₹7,886.00","₹10,795.00"
"https://www.vedantcomputers.com/logitech-g203-lightsync-gaming-mouse-910-005790?search=logitech","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/mouse/910-005790/910-005790-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/mouse/910-005790/910-005790-2-350x350.jpg","910-005790","Logitech G203 Lightsync Gaming Mouse","G203 LIGHTSYNC 910-005790Make the most of play time with G203—a gaming mouse in a
variety of vibrant colors. With LIGHTSYNC technology, ..","-30%","₹1,475.00","₹2,095.00"
"https://www.vedantcomputers.com/logitech-g203-lightsync-gaming-mouse-white-910-005791?search=logitech","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/mouse/910-005791/910-005791-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/logitech/mouse/910-005791/910-005791-2-350x350.jpg","910-005791","Logitech G203 Lightsync Gaming Mouse - White","G203
LIGHTSYNC - White910-005791Make the most of
play time with G203—a gaming mouse in a variety of vibrant colors. With
LIGHTSYNC tec..","-29%","₹1,490.00","₹2,095.00"
