"product-img href","img-responsive src","img-responsive src 2","stat-1","name","description","product-label 4","price-new","price-old"
"https://www.vedantcomputers.com/msi-a520m-a-pro?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/a520m-a-pro/a520m-a-pro-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/a520m-a-pro/a520m-a-pro-2-350x350.jpg","A520M-A PRO","MSI A520M-A Pro Motherboard","A520M-A PROSupports AMD Ryzen™ 5000 Series, 5000 G-Series, 4000
G-Series, 3000 Series and 3000 G-Series processorsSupports DDR4 Memory, up to..","-31%","₹4,980.00","₹7,200.00"
"https://www.vedantcomputers.com/msi-b450m-a-pro-max-ii-motherboard?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b450m-a-pro-max-ii/b450m-a-pro-max-ii-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b450m-a-pro-max-ii/b450m-a-pro-max-ii-2-350x350.jpg","B450M-A PRO MAX II","MSI B450M-A Pro Max II Motherboard","B450M-A PRO MAX IIAMD AM4 motherboard
inspired from architectural design, with Core Boost, DDR4 Boost, Turbo M.2, USB
3.2 Gen1Supports AMD R..","-55%","₹5,800.00","₹12,750.00"
"https://www.vedantcomputers.com/msi-b550-gaming-wifi6e?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b550-gaming-wifi6e/b550-gaming-wifi6e-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b550-gaming-wifi6e/b550-gaming-wifi6e-2-350x350.jpg","B550 GAMING WIFI6E","MSI B550 Gaming Wifi6E Motherboard","B550 GAMING WIFI6ESupports AMD Ryzen 5000 Series, 5000 G-Series, 4000
G-Series, and 3000 Series processorsSupports DDR4 Memory, up to 4800+MH..","-37%","₹13,800.00","₹21,999.00"
"https://www.vedantcomputers.com/msi-b550m-a-pro-motherboard?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b550m-a-pro/b550m-a-pro_1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b550m-a-pro/b550m-a-pro-2-350x350.jpg","B550M-A PRO","MSI B550M-A Pro Motherboard","B550M-A PROSupports AMD Ryzen™ 5000 & 3000 Series desktop
processors (not compatible with AMD Ryzen™ 5 3400G & Ryzen™ 3 3200G) and
AMD Ryzen..","-56%","₹6,150.00","₹13,999.00"
"https://www.vedantcomputers.com/msi-b650-gaming-plus-wifi-motherboard?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b650-gaming-plus-wifi/b650-gaming-plus-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b650-gaming-plus-wifi/b650-gaming-plus-wifi-2-350x350.jpg","B650 GAMING PLUS WIFI","MSI B650 Gaming Plus Wifi Motherboard","B650 GAMING PLUS
WIFISupports AMD Ryzen™
7000 Series Desktop ProcessorsSupports DDR5
Memory, Dual Channel DDR5 6000+MHz (OC)Enhanced Po..","-55%","₹15,290.00","₹33,999.00"
"https://www.vedantcomputers.com/msi-b650m-gaming-plus-wifi-motherboard?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b650m-gaming-plus-wifi/b650m-gaming-plus-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b650m-gaming-plus-wifi/b650m-gaming-plus-wifi-2-350x350.jpg","B650M GAMING PLUS WIFI","MSI B650M Gaming Plus Wifi Motherboard","B650M GAMING PLUS
WIFISupports AMD Ryzen 8000 / 7000 Series Desktop ProcessorsSupports DDR5
Memory, up to 7200+(OC) MHzEnhanced Power
D..","-32%","₹15,300.00","₹22,500.00"
"https://www.vedantcomputers.com/msi-b650m-gaming-wifi?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b650m-gaming-wifi/b650m-gaming-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b650m-gaming-wifi/b650m-gaming-wifi-2-350x350.jpg","B650M GAMING WIFI","MSI B650M Gaming Wifi Motherboard","B650M GAMING WIFISupports AMD Ryzen™
8000 / 7000 Series Desktop ProcessorsSupports DDR5
Memory, up to 7800+(OC) MHzCore Boost : With
pr..","-50%","₹10,900.00","₹21,999.00"
"https://www.vedantcomputers.com/msi-b760-gaming-plus-wifi-motherboard?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b760-gaming-plus-wifi/b760-gaming-plus-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b760-gaming-plus-wifi/b760-gaming-plus-wifi-2-350x350.jpg","B760 GAMING PLUS WIFI","MSI B760 Gaming Plus Wifi Motherboard","B760 GAMING PLUS
WIFISupports 12th/13th/14th Gen Intel® Core™, Pentium® Gold and Celeron® processors for LGA 1700 socketSupports DDR5
Memory..","-47%","₹17,889.00","₹33,999.00"
"https://www.vedantcomputers.com/msi-b760m-bomber-wifi-ddr4?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b760m-bomber-wifi-ddr4/b760m-bomber-wifi-ddr4-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b760m-bomber-wifi-ddr4/b760m-bomber-wifi-ddr4-2-350x350.jpg","B760M BOMBER WIFI DDR4","MSI B760M Bomber Wifi DDR4 Motherboard","B760M BOMBER WIFI
DDR4Support Intel®
Core™ 14th/ 13th/ 12th Gen Processors, Intel® Pentium® Gold and Celeron®
Processors for LGA 1700 socket
..","-44%","₹11,290.00","₹19,999.00"
"https://www.vedantcomputers.com/msi-b760m-bomber-wifi-motherboard?search=msi","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b760m-bomber-wifi/b760m-bomber-wifi-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/msi/motherboard/b760m-bomber-wifi/b760m-bomber-wifi-2-350x350.jpg","B760M BOMBER WIFI","MSI B760M Bomber Wifi Motherboard","B760M BOMBER WIFISupports 12th/13th/14th Gen Intel® Core™, Pentium® Gold and Celeron® processors for LGA 1700 socketSupports DDR5
Memory, Dua..","-50%","₹10,930.00","₹21,999.00"
