"product-img href","img-responsive src","img-responsive src 2","stat-1","name","description","product-label 5","price-new","price-old"
"https://www.vedantcomputers.com/amd-ryzen-5-7600x-processor?search=ryzen","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100000593wof/100-100000593wof_1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100000593wof/100-100000593wof_2-350x350.jpg","100-100000593WOF","AMD Ryzen 5 7600X Processor with Radeon Graphics (6 Cores, 12 Threads, Max. Boost Clock Up To 5.3GHz, AM5 Socket and 38MB Cache)","100-100000593WOF
Specification
General Specifications
Platform: Desktop
Market Segment: En..","-63%","₹18,090.00","₹48,500.00"
"https://www.vedantcomputers.com/amd-ryzen-5-9600x-100-100001405wof?search=ryzen","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100001405wof/100-100001405wof_1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100001405wof/100-100001405wof_2-350x350.jpg","100-100001405WOF","AMD Ryzen 5 9600X Processor with Radeon Graphics (6 Cores, 12 Threads, Max. Boost Clock Up To 5.4GHz, AM5 Socket and 38MB Cache)","AMD Ryzen 5 9600X100-100001405WOFPure Gaming
Performance 
Specification
General Specificat..","-54%","₹21,640.00","₹47,000.00"
"https://www.vedantcomputers.com/amd-ryzen-7-5800x3d-processor?search=ryzen","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100000651pof/100-100000651pof-1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100000651pof/100-100000651pof-3-350x350.jpg","100-100000651POF","AMD Ryzen 7 5800X3D 10th Anniversary Edition Gaming Processor","100-100000651POFThe AMD Ryzen 7 5800X3D is the ultimate gaming processor on any DDR4 platform.1,2 Every 10th Anniversary Edition AMD Ryzen 7 5800X3D P..","-44%","₹36,900.00","₹66,000.00"
"https://www.vedantcomputers.com/amd-ryzen-7-7700x-oem-100-100000591?search=ryzen","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100000591/100-100000591-1-350x350.jpg","","100-100000591","AMD Ryzen 7 7700X OEM Processor with Radeon Graphics (8 Cores, 16 Threads, Max. Boost Clock Up To 5.4GHz, AM5 Socket and 40MB Cache)","100-100000591 
Specification
General
Specifications
Name: AMD
Ryzen 7 7700X
Fam..","-57%","₹24,350.00","₹56,000.00"
"https://www.vedantcomputers.com/amd-ryzen-7-7700x-processor?search=ryzen","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100000591wof/100-100000591wof_1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100000591wof/100-100000591wof_2-350x350.jpg","100-100000591WOF","AMD Ryzen 7 7700X Processor with Radeon Graphics (8 Cores, 16 Threads, Max. Boost Clock Up To 5.4GHz, AM5 Socket and 40MB Cache)","100-100000591WOF 
Specification
General
Specifications
Name: AMD
Ryzen 7 7700X
..","-54%","₹26,590.00","₹58,000.00"
"https://www.vedantcomputers.com/amd-ryzen-7-7700x3d-100-100002235wof?search=ryzen","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100002235wof/100-100002235wof_1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100002235wof/100-100002235wof_2-350x350.jpg","100-100002235WOF","AMD Ryzen 7 7700X3D Processor with Radeon Graphics (8 Cores, 16 Threads, Max. Boost Clock Up To 4.5 GHz, AM5 Socket and 104MB Cache)","100-100002235WOF 
Specification
General
Specifications
Name: AMD
Ryzen 7 7700X3D
..","-67%","₹36,790.00","₹110,000.00"
"https://www.vedantcomputers.com/amd-ryzen-7-7800x3d-processor?search=ryzen","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100000910wof/100-100000910wof_1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100000910wof/100-100000910wof_2-350x350.jpg","100-100000910WOF","AMD Ryzen 7 7800X3D Processor with Radeon Graphics (8 Cores, 16 Threads, Max. Boost Clock Up To 5.0GHz, AM5 Socket and 104MB Cache)","100-100000910WOF 
Specification
General
Specifications
Platform: Desktop
Market Se..","-20%","₹40,100.00","₹50,000.00"
"https://www.vedantcomputers.com/amd-ryzen-7-9700x-100-100001404wof?search=ryzen","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100001404wof/100-100001404wof_1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100001404wof/100-100001404wof_2-350x350.jpg","100-100001404WOF","AMD Ryzen 7 9700X Processor with Radeon Graphics (8 Cores, 16 Threads, Max. Boost Clock Up To 5.5GHz, AM5 Socket and 40MB Cache)","AMD Ryzen 7 9700X100-100001404WOFThe New Standard
for a Gaming Processor 
Specification
Ge..","-51%","₹29,390.00","₹60,000.00"
"https://www.vedantcomputers.com/amd-ryzen-7-9800x3d-100-100001084wof?search=ryzen","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100001084wof/100-100001084wof_1-350x350.jpg","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100001084wof/100-100001084wof_2-350x350.jpg","100-100001084WOF","AMD Ryzen 7 9800X3D Processor with Radeon Graphics (8 Cores, 16 Threads, Max. Boost Clock Up To 5.2GHz, AM5 Socket and 104MB Cache)","AMD Ryzen 7 9800X3D Desktop Processor100-100001084WOFHarness the ultimate gaming edge with AMD Ryzen™ 7 9800X3D
Processor. Enjoy faster gamin..","-34%","₹47,469.00","₹72,000.00"
"https://www.vedantcomputers.com/amd-ryzen-7-9850x3d-100-100001973wof?search=ryzen","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100001973wof/100-100001973wof-1-350x350.JPG","https://www.vedantcomputers.com/image/cache/catalog/assets/product/amd/cpu/100-100001973wof/100-100001973wof-2-350x350.JPG","100-100001973WOF","AMD Ryzen 7 9850X3D Processor with Radeon Graphics (8 Cores, 16 Threads, Max. Boost Clock Up To 5.6GHz, AM5 Socket and 104MB Cache)","AMD Ryzen 7 9850X3D Desktop Processor100-100001973WOF 
Specification
General
Specifications
..","-41%","₹52,990.00","₹90,000.00"
